epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10157.4,0.73957,0.43537,0.89003,0.67735,0.55118,0.60929,0.45875,1.05863,1.00318,1.02568,0.005842,0.005842,0.005842
44,10392.3,0.73691,0.43075,0.88702,0.59379,0.59581,0.5993,0.45081,1.06174,1.03253,1.02609,0.005743,0.005743,0.005743
45,10621.3,0.73743,0.42996,0.88809,0.62777,0.57818,0.61843,0.45945,1.07598,0.97584,1.02902,0.005644,0.005644,0.005644
46,10851.1,0.73327,0.42825,0.8851,0.60869,0.57374,0.60052,0.44995,1.05535,1.042,1.02511,0.005545,0.005545,0.005545
47,11083.4,0.73113,0.42388,0.88437,0.61816,0.57224,0.6079,0.4539,1.07199,1.05707,1.03597,0.005446,0.005446,0.005446
48,11315,0.73125,0.42313,0.88556,0.64777,0.57758,0.61355,0.45697,1.06034,1.08294,1.02674,0.005347,0.005347,0.005347
49,11547.5,0.72936,0.42266,0.88616,0.57835,0.62727,0.63192,0.45942,1.05549,1.00819,1.02156,0.005248,0.005248,0.005248
50,11779.3,0.72616,0.41697,0.88286,0.55349,0.60731,0.61651,0.45558,1.0655,1.01196,1.02481,0.005149,0.005149,0.005149
51,12012.3,0.72666,0.41697,0.88229,0.59006,0.6164,0.62624,0.46219,1.06772,1.07942,1.02514,0.00505,0.00505,0.00505
52,12244.2,0.72271,0.41372,0.88234,0.6062,0.59093,0.61857,0.45564,1.05774,1.04141,1.02625,0.004951,0.004951,0.004951
53,12526.2,0.71939,0.41267,0.87966,0.60729,0.59561,0.61088,0.45278,1.06993,1.07672,1.03292,0.004852,0.004852,0.004852
54,12755.9,0.71809,0.41026,0.87963,0.59138,0.62033,0.61331,0.45397,1.0648,1.02559,1.02439,0.004753,0.004753,0.004753
55,12990.2,0.72019,0.40844,0.88204,0.59486,0.59822,0.60401,0.45266,1.06512,1.03515,1.02401,0.004654,0.004654,0.004654
56,13223.6,0.71254,0.40593,0.87769,0.63644,0.5684,0.60247,0.44934,1.06323,0.99448,1.02368,0.004555,0.004555,0.004555
57,13457.6,0.71356,0.40418,0.87838,0.60325,0.59718,0.60799,0.45372,1.05992,1.02733,1.02184,0.004456,0.004456,0.004456
58,13699.1,0.71296,0.40347,0.87867,0.59702,0.61896,0.62993,0.46442,1.05752,1.0259,1.0175,0.004357,0.004357,0.004357
59,13934.4,0.71169,0.40299,0.87891,0.68313,0.52907,0.5969,0.44511,1.0656,1.05433,1.02141,0.004258,0.004258,0.004258
60,14167.2,0.70803,0.39829,0.87719,0.58603,0.57083,0.59032,0.44554,1.07152,1.11357,1.02405,0.004159,0.004159,0.004159
61,14407.1,0.70961,0.39667,0.87675,0.63376,0.5745,0.6039,0.4554,1.07859,1.09273,1.02829,0.00406,0.00406,0.00406
62,14651.1,0.7056,0.3949,0.87754,0.62538,0.54355,0.59004,0.44346,1.07466,1.09567,1.02852,0.003961,0.003961,0.003961
63,14882.9,0.70465,0.39317,0.87564,0.5849,0.57733,0.59769,0.45421,1.06736,1.11202,1.02377,0.003862,0.003862,0.003862
64,15126.2,0.70159,0.38952,0.8758,0.59911,0.5934,0.60724,0.46348,1.07007,1.09931,1.02456,0.003763,0.003763,0.003763
65,15361,0.7003,0.38947,0.87571,0.64595,0.56459,0.60378,0.46007,1.07107,1.10314,1.02339,0.003664,0.003664,0.003664
66,15594.7,0.69909,0.38872,0.87237,0.68914,0.54725,0.60486,0.46059,1.07801,1.10501,1.02423,0.003565,0.003565,0.003565
67,15827.7,0.69629,0.38689,0.87368,0.73298,0.53769,0.61926,0.47079,1.07535,1.08415,1.02433,0.003466,0.003466,0.003466
68,16061.9,0.69634,0.3863,0.87409,0.6659,0.58047,0.62982,0.47787,1.07046,1.08674,1.02249,0.003367,0.003367,0.003367
69,16294.7,0.69374,0.38355,0.87182,0.69104,0.57145,0.62427,0.4732,1.0701,1.09625,1.02211,0.003268,0.003268,0.003268
70,16529.1,0.69185,0.38137,0.87102,0.63998,0.57862,0.61049,0.46532,1.06705,1.07971,1.02226,0.003169,0.003169,0.003169
71,16766.1,0.69147,0.3803,0.87361,0.63563,0.60157,0.61974,0.47173,1.0727,1.08128,1.02584,0.00307,0.00307,0.00307
72,17009.2,0.69011,0.37734,0.87246,0.62135,0.60922,0.62497,0.47565,1.07363,1.07227,1.02681,0.002971,0.002971,0.002971
73,17239.3,0.68946,0.37595,0.87085,0.59043,0.60659,0.61164,0.4661,1.0719,1.06908,1.0262,0.002872,0.002872,0.002872
74,17472,0.68398,0.37372,0.87008,0.60284,0.61111,0.61578,0.4681,1.07075,1.07192,1.02494,0.002773,0.002773,0.002773
